County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
Alameda,Less than 1 year,1,0,0,0,411,0,0,85,88,117,36,0,30,24,71,18,403,12,0,0,411,0,0,194,216,410,6,0,urban,1,0,0
Alameda,1 - 4 years,2,0,0,0,61,0,0,36,24,36,12,0,6,12,30,12,41,0,0,0,41,0,0,36,36,41,0,0,urban,1,0,0
Alameda,5 - 9 years,3,0,0,0,60,0,0,30,24,36,12,0,0,0,24,24,36,0,0,0,36,0,0,36,36,36,6,0,urban,1,0,0
Alameda,10 - 14 years,4,0,0,0,66,0,0,24,24,36,6,0,6,6,30,24,47,0,0,0,50,0,0,36,36,50,0,0,urban,1,0,0
Alameda,15 - 19 years,5,0,0,73,138,60,0,36,61,68,36,0,12,30,36,36,203,0,0,6,236,0,0,58,169,233,6,12,urban,1,0,0
Alameda,20 - 24 years,6,64,0,197,80,138,30,61,129,132,36,12,18,12,102,63,379,24,6,30,439,6,6,91,362,444,12,30,urban,1,0,0
Alameda,25 - 29 years,7,73,50,185,85,151,20,74,131,136,30,6,18,12,151,102,410,12,30,46,457,12,0,121,396,502,18,30,urban,1,0,0
Alameda,30 - 34 years,8,95,60,198,92,161,60,82,158,117,36,18,30,30,187,142,448,24,41,149,400,24,12,177,420,571,12,36,urban,1,0,0
Alameda,35 - 39 years,9,97,74,253,126,161,60,105,207,162,36,18,24,36,193,191,509,30,56,203,436,36,12,252,460,697,18,30,urban,1,0,0
Alameda,40 - 44 years,10,139,85,286,149,200,60,136,235,185,36,24,18,36,252,268,589,30,122,325,398,24,36,335,539,849,30,36,urban,1,0,0
Alameda,45 - 49 years,11,196,123,483,188,324,62,233,368,239,42,24,30,36,452,389,930,42,231,526,550,36,36,542,815,1294,36,41,urban,1,0,0
Alameda,50 - 54 years,12,273,144,762,293,523,72,314,552,347,36,36,30,36,762,538,1461,61,435,786,740,36,61,798,1267,1927,36,108,urban,1,0,0
