Year_of_Death,County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
2014,Alameda,Less than 1 year,1,0,0,0,76,0,0,13,23,20,6,0,6,6,11,6,72,6,0,0,76,0,0,36,40,76,0,0,urban,1,0,0
2014,Alameda,1 - 4 years,2,0,0,0,11,0,0,6,6,6,6,0,0,0,6,0,11,0,0,0,11,0,0,6,6,11,0,0,urban,1,0,0
2014,Alameda,5 - 9 years,3,0,0,0,10,0,0,6,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,6,6,0,0,urban,1,0,0
2014,Alameda,10 - 14 years,4,0,0,0,10,0,0,6,6,6,0,0,0,0,6,6,6,0,0,0,6,0,0,6,6,6,0,0,urban,1,0,0
2014,Alameda,15 - 19 years,5,0,0,12,22,10,0,6,16,6,6,0,0,0,6,6,33,0,0,0,38,0,0,17,21,38,0,0,urban,1,0,0
2014,Alameda,20 - 24 years,6,10,0,31,16,33,10,13,26,18,6,6,0,0,21,11,74,6,0,6,83,0,0,19,67,85,0,6,urban,1,0,0
2014,Alameda,25 - 29 years,7,13,10,37,12,29,0,14,24,25,6,0,6,0,30,21,73,6,6,16,77,6,0,18,78,90,6,6,urban,1,0,0
2014,Alameda,30 - 34 years,8,10,10,26,15,30,10,17,20,23,6,0,6,0,18,28,54,6,6,27,47,6,0,28,55,80,6,6,urban,1,0,0
2014,Alameda,35 - 39 years,9,19,10,37,24,23,10,19,32,21,6,0,0,6,31,34,75,6,6,38,66,6,0,47,64,109,6,6,urban,1,0,0
2014,Alameda,40 - 44 years,10,18,19,56,25,30,10,20,40,25,6,6,6,6,48,44,105,0,29,58,60,0,6,57,92,143,0,6,urban,1,0,0
2014,Alameda,45 - 49 years,11,31,18,81,29,51,10,38,49,38,6,6,6,6,78,64,146,6,42,83,85,6,6,85,131,204,6,6,urban,1,0,0
2014,Alameda,50 - 54 years,12,29,27,116,57,92,11,44,89,51,6,6,6,6,134,76,249,6,76,128,111,6,14,133,199,313,6,18,urban,1,0,0
2014,Alameda,55 - 59 years,13,66,40,219,79,155,20,87,163,65,11,6,6,6,241,127,433,19,145,230,154,12,38,237,342,525,6,48,urban,1,0,0
2014,Alameda,60 - 64 years,14,107,58,229,85,204,32,104,186,64,6,6,6,6,341,155,531,29,188,291,161,15,60,268,446,618,14,83,urban,1,0,0
2014,Alameda,65 - 69 years,15,141,68,259,106,202,31,116,183,66,6,6,15,6,410,193,585,29,201,379,121,21,85,340,467,650,13,144,urban,1,0,0
2014,Alameda,70 - 74 years,16,139,101,259,116,170,26,131,153,81,6,6,14,6,414,214,566,31,182,350,99,18,162,347,464,661,11,139,urban,1,0,0
2014,Alameda,75 - 79 years,17,113,115,328,160,171,21,148,165,104,6,6,6,6,469,267,627,14,160,397,83,6,261,472,436,714,6,190,urban,1,0,0
2014,Alameda,80 - 84 years,18,185,113,387,194,207,18,206,164,94,11,6,6,6,618,306,781,17,157,456,61,6,423,519,585,783,6,314,urban,1,0,0
2014,Alameda,85 - 89 years,19,196,135,502,281,216,15,252,150,129,6,6,14,6,786,390,940,15,162,417,68,6,693,758,587,964,6,373,urban,1,0,0
2014,Alameda,90 - 94 years,20,165,131,496,260,223,16,213,148,102,6,0,6,6,813,364,913,14,99,299,45,6,844,816,475,945,6,340,urban,1,0,0
2014,Alameda,95 - 99 years,21,65,47,175,120,84,10,91,59,33,6,6,6,0,312,122,370,6,30,59,20,6,389,332,167,378,6,117,urban,1,0,0
2014,Alameda,100 years and over,22,17,10,48,52,11,10,26,26,6,0,0,0,6,75,37,99,0,11,6,6,0,113,109,27,123,0,13,urban,1,0,0
2014,Alpine,Less than 1 year,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
