Year_of_Death,County_of_Residence,Age,Education_level,Total_Deaths_Education,age_cat,education_cat,Description
2014,Alameda,Less than 1 year,High School Graduate or GED Completed,0,1,3,urban
2014,Alameda,Less than 1 year,Less than High School,76,1,4,urban
2014,Alameda,Less than 1 year,Graduate Degree,0,1,2,urban
2014,Alameda,Less than 1 year,"Some College Credit, No 4-Year Degree",0,1,5,urban
2014,Alameda,Less than 1 year,Unknown,0,1,6,urban
2014,Alameda,Less than 1 year,Bachelor's Degree,0,1,1,urban
2014,Alameda,1 - 4 years,Bachelor's Degree,0,2,1,urban
2014,Alameda,1 - 4 years,High School Graduate or GED Completed,0,2,3,urban
2014,Alameda,1 - 4 years,Graduate Degree,0,2,2,urban
2014,Alameda,1 - 4 years,Unknown,0,2,6,urban
2014,Alameda,1 - 4 years,Less than High School,11,2,4,urban
2014,Alameda,1 - 4 years,"Some College Credit, No 4-Year Degree",0,2,5,urban
2014,Alameda,5 - 9 years,High School Graduate or GED Completed,0,3,3,urban
2014,Alameda,5 - 9 years,Unknown,0,3,6,urban
2014,Alameda,5 - 9 years,"Some College Credit, No 4-Year Degree",0,3,5,urban
2014,Alameda,5 - 9 years,Less than High School,10,3,4,urban
2014,Alameda,5 - 9 years,Bachelor's Degree,0,3,1,urban
2014,Alameda,5 - 9 years,Graduate Degree,0,3,2,urban
2014,Alameda,10 - 14 years,Graduate Degree,0,4,2,urban
2014,Alameda,10 - 14 years,Unknown,0,4,6,urban
2014,Alameda,10 - 14 years,Less than High School,10,4,4,urban
2014,Alameda,10 - 14 years,Bachelor's Degree,0,4,1,urban
2014,Alameda,10 - 14 years,High School Graduate or GED Completed,0,4,3,urban
2014,Alameda,10 - 14 years,"Some College Credit, No 4-Year Degree",0,4,5,urban
2014,Alameda,15 - 19 years,Unknown,0,5,6,urban
2014,Alameda,15 - 19 years,Less than High School,22,5,4,urban
2014,Alameda,15 - 19 years,Graduate Degree,0,5,2,urban
2014,Alameda,15 - 19 years,High School Graduate or GED Completed,12,5,3,urban
2014,Alameda,15 - 19 years,Bachelor's Degree,0,5,1,urban
2014,Alameda,15 - 19 years,"Some College Credit, No 4-Year Degree",10,5,5,urban
2014,Alameda,20 - 24 years,Graduate Degree,0,6,2,urban
2014,Alameda,20 - 24 years,Unknown,10,6,6,urban
2014,Alameda,20 - 24 years,"Some College Credit, No 4-Year Degree",33,6,5,urban
2014,Alameda,20 - 24 years,High School Graduate or GED Completed,31,6,3,urban
2014,Alameda,20 - 24 years,Less than High School,16,6,4,urban
2014,Alameda,20 - 24 years,Bachelor's Degree,10,6,1,urban
