Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital,age_cat,marital_cat,Description
2014,Alameda,Less than 1 year,Unknown,0,1,4,urban
2014,Alameda,Less than 1 year,Widowed,0,1,5,urban
2014,Alameda,Less than 1 year,Divorced,0,1,1,urban
2014,Alameda,Less than 1 year,Married (including SRDP),0,1,2,urban
2014,Alameda,Less than 1 year,Never Married,76,1,3,urban
2014,Alameda,1 - 4 years,Widowed,0,2,5,urban
2014,Alameda,1 - 4 years,Divorced,0,2,1,urban
2014,Alameda,1 - 4 years,Unknown,0,2,4,urban
2014,Alameda,1 - 4 years,Married (including SRDP),0,2,2,urban
2014,Alameda,1 - 4 years,Never Married,11,2,3,urban
2014,Alameda,5 - 9 years,Unknown,0,3,4,urban
2014,Alameda,5 - 9 years,Married (including SRDP),0,3,2,urban
2014,Alameda,5 - 9 years,Divorced,0,3,1,urban
2014,Alameda,5 - 9 years,Widowed,0,3,5,urban
2014,Alameda,5 - 9 years,Never Married,6,3,3,urban
2014,Alameda,10 - 14 years,Never Married,6,4,3,urban
2014,Alameda,10 - 14 years,Widowed,0,4,5,urban
2014,Alameda,10 - 14 years,Divorced,0,4,1,urban
2014,Alameda,10 - 14 years,Married (including SRDP),0,4,2,urban
2014,Alameda,10 - 14 years,Unknown,0,4,4,urban
2014,Alameda,15 - 19 years,Divorced,0,5,1,urban
2014,Alameda,15 - 19 years,Married (including SRDP),0,5,2,urban
2014,Alameda,15 - 19 years,Widowed,0,5,5,urban
2014,Alameda,15 - 19 years,Never Married,38,5,3,urban
2014,Alameda,15 - 19 years,Unknown,0,5,4,urban
2014,Alameda,20 - 24 years,Widowed,0,6,5,urban
2014,Alameda,20 - 24 years,Never Married,83,6,3,urban
2014,Alameda,20 - 24 years,Divorced,0,6,1,urban
2014,Alameda,20 - 24 years,Married (including SRDP),6,6,2,urban
2014,Alameda,20 - 24 years,Unknown,0,6,4,urban
2014,Alameda,25 - 29 years,Widowed,0,7,5,urban
2014,Alameda,25 - 29 years,Unknown,6,7,4,urban
2014,Alameda,25 - 29 years,Divorced,6,7,1,urban
2014,Alameda,25 - 29 years,Never Married,77,7,3,urban
2014,Alameda,25 - 29 years,Married (including SRDP),16,7,2,urban
2014,Alameda,30 - 34 years,Never Married,47,8,3,urban
2014,Alameda,30 - 34 years,Divorced,6,8,1,urban
2014,Alameda,30 - 34 years,Married (including SRDP),27,8,2,urban
2014,Alameda,30 - 34 years,Unknown,6,8,4,urban
2014,Alameda,30 - 34 years,Widowed,0,8,5,urban
2014,Alameda,35 - 39 years,Widowed,0,9,5,urban
2014,Alameda,35 - 39 years,Unknown,6,9,4,urban
2014,Alameda,35 - 39 years,Never Married,66,9,3,urban
2014,Alameda,35 - 39 years,Divorced,6,9,1,urban
2014,Alameda,35 - 39 years,Married (including SRDP),38,9,2,urban
2014,Alameda,40 - 44 years,Widowed,6,10,5,urban
