Year_of_Death,County_of_Residence,Age,Race_Ethnicity,Total_Deaths_ethnicity,age_cat,race_ethnicity_cat,Description
2014,Alameda,Less than 1 year,Black/African-American,23,1,2,urban
2014,Alameda,Less than 1 year,Pacific Islander/Native Hawaiian,6,1,7,urban
2014,Alameda,Less than 1 year,Other/Unknown,6,1,6,urban
2014,Alameda,Less than 1 year,Hispanic,20,1,3,urban
2014,Alameda,Less than 1 year,Asian,13,1,1,urban
2014,Alameda,Less than 1 year,Native American/Alaskan Native,0,1,5,urban
2014,Alameda,Less than 1 year,Multi-Race,6,1,4,urban
2014,Alameda,Less than 1 year,White,11,1,8,urban
2014,Alameda,1 - 4 years,Other/Unknown,0,2,6,urban
2014,Alameda,1 - 4 years,Multi-Race,6,2,4,urban
2014,Alameda,1 - 4 years,Asian,6,2,1,urban
2014,Alameda,1 - 4 years,Black/African-American,6,2,2,urban
2014,Alameda,1 - 4 years,White,6,2,8,urban
2014,Alameda,1 - 4 years,Pacific Islander/Native Hawaiian,0,2,7,urban
2014,Alameda,1 - 4 years,Native American/Alaskan Native,0,2,5,urban
2014,Alameda,1 - 4 years,Hispanic,6,2,3,urban
2014,Alameda,5 - 9 years,Pacific Islander/Native Hawaiian,0,3,7,urban
2014,Alameda,5 - 9 years,Asian,6,3,1,urban
2014,Alameda,5 - 9 years,Black/African-American,0,3,2,urban
2014,Alameda,5 - 9 years,Multi-Race,0,3,4,urban
2014,Alameda,5 - 9 years,Native American/Alaskan Native,0,3,5,urban
2014,Alameda,5 - 9 years,White,0,3,8,urban
2014,Alameda,5 - 9 years,Hispanic,6,3,3,urban
2014,Alameda,5 - 9 years,Other/Unknown,0,3,6,urban
2014,Alameda,10 - 14 years,White,6,4,8,urban
2014,Alameda,10 - 14 years,Multi-Race,0,4,4,urban
2014,Alameda,10 - 14 years,Pacific Islander/Native Hawaiian,0,4,7,urban
2014,Alameda,10 - 14 years,Other/Unknown,0,4,6,urban
2014,Alameda,10 - 14 years,Black/African-American,6,4,2,urban
2014,Alameda,10 - 14 years,Hispanic,6,4,3,urban
2014,Alameda,10 - 14 years,Native American/Alaskan Native,0,4,5,urban
2014,Alameda,10 - 14 years,Asian,6,4,1,urban
2014,Alameda,15 - 19 years,Asian,6,5,1,urban
2014,Alameda,15 - 19 years,Pacific Islander/Native Hawaiian,0,5,7,urban
2014,Alameda,15 - 19 years,Multi-Race,6,5,4,urban
2014,Alameda,15 - 19 years,Native American/Alaskan Native,0,5,5,urban
2014,Alameda,15 - 19 years,Hispanic,6,5,3,urban
2014,Alameda,15 - 19 years,Black/African-American,16,5,2,urban
2014,Alameda,15 - 19 years,White,6,5,8,urban
2014,Alameda,15 - 19 years,Other/Unknown,0,5,6,urban
2014,Alameda,20 - 24 years,Black/African-American,26,6,2,urban
2014,Alameda,20 - 24 years,Native American/Alaskan Native,6,6,5,urban
2014,Alameda,20 - 24 years,Other/Unknown,0,6,6,urban
2014,Alameda,20 - 24 years,Hispanic,18,6,3,urban
