Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex,age_cat,sex_cat,Description
2014,Alameda,Less than 1 year,Male,40,1,2,urban
2014,Alameda,Less than 1 year,Female,36,1,1,urban
2014,Alameda,1 - 4 years,Female,6,2,1,urban
2014,Alameda,1 - 4 years,Male,6,2,2,urban
2014,Alameda,5 - 9 years,Male,6,3,2,urban
2014,Alameda,5 - 9 years,Female,6,3,1,urban
2014,Alameda,10 - 14 years,Female,6,4,1,urban
2014,Alameda,10 - 14 years,Male,6,4,2,urban
2014,Alameda,15 - 19 years,Female,17,5,1,urban
2014,Alameda,15 - 19 years,Male,21,5,2,urban
2014,Alameda,20 - 24 years,Female,19,6,1,urban
2014,Alameda,20 - 24 years,Male,67,6,2,urban
2014,Alameda,25 - 29 years,Female,18,7,1,urban
2014,Alameda,25 - 29 years,Male,78,7,2,urban
2014,Alameda,30 - 34 years,Female,28,8,1,urban
2014,Alameda,30 - 34 years,Male,55,8,2,urban
2014,Alameda,35 - 39 years,Male,64,9,2,urban
2014,Alameda,35 - 39 years,Female,47,9,1,urban
2014,Alameda,40 - 44 years,Male,92,10,2,urban
2014,Alameda,40 - 44 years,Female,57,10,1,urban
2014,Alameda,45 - 49 years,Female,85,11,1,urban
2014,Alameda,45 - 49 years,Male,131,11,2,urban
2014,Alameda,50 - 54 years,Female,133,12,1,urban
2014,Alameda,50 - 54 years,Male,199,12,2,urban
2014,Alameda,55 - 59 years,Female,237,13,1,urban
2014,Alameda,55 - 59 years,Male,342,13,2,urban
2014,Alameda,60 - 64 years,Female,268,14,1,urban
2014,Alameda,60 - 64 years,Male,446,14,2,urban
2014,Alameda,65 - 69 years,Male,467,15,2,urban
2014,Alameda,65 - 69 years,Female,340,15,1,urban
2014,Alameda,70 - 74 years,Male,464,16,2,urban
2014,Alameda,70 - 74 years,Female,347,16,1,urban
2014,Alameda,75 - 79 years,Male,436,17,2,urban
2014,Alameda,75 - 79 years,Female,472,17,1,urban
2014,Alameda,80 - 84 years,Female,519,18,1,urban
2014,Alameda,80 - 84 years,Male,585,18,2,urban
2014,Alameda,85 - 89 years,Male,587,19,2,urban
2014,Alameda,85 - 89 years,Female,758,19,1,urban
2014,Alameda,90 - 94 years,Male,475,20,2,urban
2014,Alameda,90 - 94 years,Female,816,20,1,urban
2014,Alameda,95 - 99 years,Female,332,21,1,urban
2014,Alameda,95 - 99 years,Male,167,21,2,urban
2014,Alameda,100 years and over,Female,109,22,1,urban
2014,Alameda,100 years and over,Male,27,22,2,urban
2014,Alpine,Less than 1 year,Male,0,1,2,rural
2014,Alpine,Less than 1 year,Female,0,1,1,rural
2014,Alpine,1 - 4 years,Female,0,2,1,rural
2014,Alpine,1 - 4 years,Male,0,2,2,rural
2014,Alpine,5 - 9 years,Female,0,3,1,rural
2014,Alpine,5 - 9 years,Male,0,3,2,rural
2014,Alpine,10 - 14 years,Female,0,4,1,rural
2014,Alpine,10 - 14 years,Male,0,4,2,rural
2014,Alpine,15 - 19 years,Female,0,5,1,rural
2014,Alpine,15 - 19 years,Male,0,5,2,rural
2014,Alpine,20 - 24 years,Male,0,6,2,rural
2014,Alpine,20 - 24 years,Female,0,6,1,rural
2014,Alpine,25 - 29 years,Male,0,7,2,rural
2014,Alpine,25 - 29 years,Female,0,7,1,rural
