Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran,age_cat,veteran_cat,Description
2014,Alameda,Less than 1 year,No,76,1,1,urban
2014,Alameda,Less than 1 year,Yes,0,1,3,urban
2014,Alameda,Less than 1 year,Unknown,0,1,2,urban
2014,Alameda,1 - 4 years,Unknown,0,2,2,urban
2014,Alameda,1 - 4 years,Yes,0,2,3,urban
2014,Alameda,1 - 4 years,No,11,2,1,urban
2014,Alameda,5 - 9 years,No,6,3,1,urban
2014,Alameda,5 - 9 years,Yes,0,3,3,urban
2014,Alameda,5 - 9 years,Unknown,0,3,2,urban
2014,Alameda,10 - 14 years,No,6,4,1,urban
2014,Alameda,10 - 14 years,Yes,0,4,3,urban
2014,Alameda,10 - 14 years,Unknown,0,4,2,urban
2014,Alameda,15 - 19 years,Unknown,0,5,2,urban
2014,Alameda,15 - 19 years,No,38,5,1,urban
2014,Alameda,15 - 19 years,Yes,0,5,3,urban
2014,Alameda,20 - 24 years,Yes,6,6,3,urban
2014,Alameda,20 - 24 years,Unknown,0,6,2,urban
2014,Alameda,20 - 24 years,No,85,6,1,urban
2014,Alameda,25 - 29 years,No,90,7,1,urban
2014,Alameda,25 - 29 years,Yes,6,7,3,urban
2014,Alameda,25 - 29 years,Unknown,6,7,2,urban
2014,Alameda,30 - 34 years,Yes,6,8,3,urban
2014,Alameda,30 - 34 years,No,80,8,1,urban
2014,Alameda,30 - 34 years,Unknown,6,8,2,urban
2014,Alameda,35 - 39 years,Unknown,6,9,2,urban
2014,Alameda,35 - 39 years,No,109,9,1,urban
2014,Alameda,35 - 39 years,Yes,6,9,3,urban
2014,Alameda,40 - 44 years,Unknown,0,10,2,urban
2014,Alameda,40 - 44 years,Yes,6,10,3,urban
2014,Alameda,40 - 44 years,No,143,10,1,urban
2014,Alameda,45 - 49 years,Unknown,6,11,2,urban
2014,Alameda,45 - 49 years,Yes,6,11,3,urban
2014,Alameda,45 - 49 years,No,204,11,1,urban
2014,Alameda,50 - 54 years,Unknown,6,12,2,urban
2014,Alameda,50 - 54 years,No,313,12,1,urban
2014,Alameda,50 - 54 years,Yes,18,12,3,urban
2014,Alameda,55 - 59 years,No,525,13,1,urban
2014,Alameda,55 - 59 years,Yes,48,13,3,urban
2014,Alameda,55 - 59 years,Unknown,6,13,2,urban
2014,Alameda,60 - 64 years,Unknown,14,14,2,urban
2014,Alameda,60 - 64 years,Yes,83,14,3,urban
2014,Alameda,60 - 64 years,No,618,14,1,urban
2014,Alameda,65 - 69 years,No,650,15,1,urban
2014,Alameda,65 - 69 years,Unknown,13,15,2,urban
2014,Alameda,65 - 69 years,Yes,144,15,3,urban
2014,Alameda,70 - 74 years,Unknown,11,16,2,urban
2014,Alameda,70 - 74 years,Yes,139,16,3,urban
2014,Alameda,70 - 74 years,No,661,16,1,urban
2014,Alameda,75 - 79 years,No,714,17,1,urban
2014,Alameda,75 - 79 years,Unknown,6,17,2,urban
2014,Alameda,75 - 79 years,Yes,190,17,3,urban
2014,Alameda,80 - 84 years,No,783,18,1,urban
2014,Alameda,80 - 84 years,Unknown,6,18,2,urban
2014,Alameda,80 - 84 years,Yes,314,18,3,urban
2014,Alameda,85 - 89 years,No,964,19,1,urban
2014,Alameda,85 - 89 years,Yes,373,19,3,urban
2014,Alameda,85 - 89 years,Unknown,6,19,2,urban
2014,Alameda,90 - 94 years,Unknown,6,20,2,urban
2014,Alameda,90 - 94 years,Yes,340,20,3,urban
2014,Alameda,90 - 94 years,No,945,20,1,urban
