Year_of_Death,County_of_Residence,Age,Education_Level,Total_Deaths_Education
2021,Alameda,Less than 1 year,Less than High School,25
2021,Alameda,Less than 1 year,High School Graduate or GED Completed,0
2021,Alameda,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2021,Alameda,Less than 1 year,Bachelor's Degree,0
2021,Alameda,Less than 1 year,Graduate Degree,0
2021,Alameda,Less than 1 year,Unknown,0
2021,Alameda,1 - 4 years,Less than High School,10
2021,Alameda,1 - 4 years,High School Graduate or GED Completed,0
2021,Alameda,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2021,Alameda,1 - 4 years,Bachelor's Degree,0
2021,Alameda,1 - 4 years,Graduate Degree,0
2021,Alameda,1 - 4 years,Unknown,0
2021,Alameda,5 - 9 years,Less than High School,10
2021,Alameda,5 - 9 years,High School Graduate or GED Completed,0
2021,Alameda,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2021,Alameda,5 - 9 years,Bachelor's Degree,0
2021,Alameda,5 - 9 years,Graduate Degree,0
2021,Alameda,5 - 9 years,Unknown,0
2021,Alameda,10 - 14 years,Less than High School,10
2021,Alameda,10 - 14 years,High School Graduate or GED Completed,0
2021,Alameda,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2021,Alameda,10 - 14 years,Bachelor's Degree,0
2021,Alameda,10 - 14 years,Graduate Degree,0
2021,Alameda,10 - 14 years,Unknown,0
2021,Alameda,15 - 19 years,Less than High School,10
2021,Alameda,15 - 19 years,High School Graduate or GED Completed,10
2021,Alameda,15 - 19 years,"Some College Credit, No 4-Year Degree",10
2021,Alameda,15 - 19 years,Bachelor's Degree,0
2021,Alameda,15 - 19 years,Graduate Degree,0
2021,Alameda,15 - 19 years,Unknown,0
2021,Alameda,20 - 24 years,Less than High School,10
2021,Alameda,20 - 24 years,High School Graduate or GED Completed,15
2021,Alameda,20 - 24 years,"Some College Credit, No 4-Year Degree",10
2021,Alameda,20 - 24 years,Bachelor's Degree,10
2021,Alameda,20 - 24 years,Graduate Degree,0
2021,Alameda,20 - 24 years,Unknown,10
2021,Alameda,25 - 29 years,Less than High School,10
2021,Alameda,25 - 29 years,High School Graduate or GED Completed,19
2021,Alameda,25 - 29 years,"Some College Credit, No 4-Year Degree",10
2021,Alameda,25 - 29 years,Bachelor's Degree,10
2021,Alameda,25 - 29 years,Graduate Degree,10
2021,Alameda,25 - 29 years,Unknown,0
2021,Alameda,30 - 34 years,Less than High School,10
2021,Alameda,30 - 34 years,High School Graduate or GED Completed,20
2021,Alameda,30 - 34 years,"Some College Credit, No 4-Year Degree",13
2021,Alameda,30 - 34 years,Bachelor's Degree,10
2021,Alameda,30 - 34 years,Graduate Degree,10
2021,Alameda,30 - 34 years,Unknown,10
2021,Alameda,35 - 39 years,Less than High School,10
2021,Alameda,35 - 39 years,High School Graduate or GED Completed,22
2021,Alameda,35 - 39 years,"Some College Credit, No 4-Year Degree",17
2021,Alameda,35 - 39 years,Bachelor's Degree,10
2021,Alameda,35 - 39 years,Graduate Degree,10
2021,Alameda,35 - 39 years,Unknown,10
2021,Alameda,40 - 44 years,Less than High School,13
2021,Alameda,40 - 44 years,High School Graduate or GED Completed,21
2021,Alameda,40 - 44 years,"Some College Credit, No 4-Year Degree",18
2021,Alameda,40 - 44 years,Bachelor's Degree,10
2021,Alameda,40 - 44 years,Graduate Degree,10
2021,Alameda,40 - 44 years,Unknown,10
2021,Alameda,45 - 49 years,Less than High School,26
2021,Alameda,45 - 49 years,High School Graduate or GED Completed,27
2021,Alameda,45 - 49 years,"Some College Credit, No 4-Year Degree",10
2021,Alameda,45 - 49 years,Bachelor's Degree,14
2021,Alameda,45 - 49 years,Graduate Degree,10
2021,Alameda,45 - 49 years,Unknown,10
2021,Alameda,50 - 54 years,Less than High School,19
2021,Alameda,50 - 54 years,High School Graduate or GED Completed,56
2021,Alameda,50 - 54 years,"Some College Credit, No 4-Year Degree",25
2021,Alameda,50 - 54 years,Bachelor's Degree,24
2021,Alameda,50 - 54 years,Graduate Degree,10
2021,Alameda,50 - 54 years,Unknown,10
2021,Alameda,55 - 59 years,Less than High School,38
2021,Alameda,55 - 59 years,High School Graduate or GED Completed,89
2021,Alameda,55 - 59 years,"Some College Credit, No 4-Year Degree",53
2021,Alameda,55 - 59 years,Bachelor's Degree,25
2021,Alameda,55 - 59 years,Graduate Degree,10
2021,Alameda,55 - 59 years,Unknown,12
2021,Alameda,60 - 64 years,Less than High School,41
2021,Alameda,60 - 64 years,High School Graduate or GED Completed,116
2021,Alameda,60 - 64 years,"Some College Credit, No 4-Year Degree",59
2021,Alameda,60 - 64 years,Bachelor's Degree,45
2021,Alameda,60 - 64 years,Graduate Degree,26
2021,Alameda,60 - 64 years,Unknown,10
2021,Alameda,65 - 69 years,Less than High School,53
2021,Alameda,65 - 69 years,High School Graduate or GED Completed,109
2021,Alameda,65 - 69 years,"Some College Credit, No 4-Year Degree",84
2021,Alameda,65 - 69 years,Bachelor's Degree,50
2021,Alameda,65 - 69 years,Graduate Degree,28
2021,Alameda,65 - 69 years,Unknown,18
2021,Alameda,70 - 74 years,Less than High School,53
2021,Alameda,70 - 74 years,High School Graduate or GED Completed,131
2021,Alameda,70 - 74 years,"Some College Credit, No 4-Year Degree",106
2021,Alameda,70 - 74 years,Bachelor's Degree,90
2021,Alameda,70 - 74 years,Graduate Degree,43
2021,Alameda,70 - 74 years,Unknown,21
2021,Alameda,75 - 79 years,Less than High School,62
