County,Description,County_Size(SqMile)
Alameda,urban,739
Alpine,rural,738
Amador,rural,595
Butte,suburban,1636
Calaveras,rural,1020
Colusa,rural,1151
Contra Costa,urban,716
Del Norte,rural,1006
El Dorado,rural,1708
Fresno,urban,5958
Glenn,rural,1314
Humboldt,rural,3568
Imperial,suburban,4177
Inyo,rural,10181
Kern,suburban,8132
Kings,rural,1389
Lake,rural,1256
Lassen,rural,4541
Los Angeles,urban,4058
Madera,rural,2137
Marin,suburban,520
Mariposa,rural,1449
Mendocino,rural,3506
Merced,suburban,1935
Modoc,rural,3918
Mono,rural,3049
Monterey,suburban,3381
Napa,suburban,748
Nevada,rural,958
Orange,urban,791
Placer,suburban,1407
Plumas,rural,2553
Riverside,urban,7206
Sacramento,urban,965
San Benito,rural,1389
San Bernardino,urban,20057
San Diego,urban,4207
San Francisco,urban,47
San Joaquin,urban,1391
San Luis Obispo,suburban,3299
San Mateo,urban,448
Santa Barbara,suburban,2735
Santa Clara,urban,1290
Santa Cruz,suburban,445
Shasta,suburban,3775
Sierra,rural,953
Siskiyou,rural,6278
Solano,suburban,822
Sonoma,suburban,1576
Stanislaus,suburban,1495
Sutter,rural,602
Tehama,rural,2950
Trinity,rural,3179
Tulare,suburban,4824
Tuolumne,rural,2221
Ventura,urban,1843
Yolo,suburban,1015
Yuba,rural,632
