County,2014,2015,2016,2017,2018,2019,Pop%_2014,Pop%_2015,Pop%_2016,Pop%_2017,Pop%_2018,Pop%_2019
Alameda,1607792.0,1634538.0,1650950.0,1660196.0,1666756.0,1671329.0,4.165591020974391,4.19994889260239,4.215143024185313,4.218138716018551,4.223742845827695,4.229903743962975
Alpine,1080.0,1077.0,1047.0,1111.0,1089.0,1129.0,0.0027981469634457,0.002767353807212,0.0026731607537006,0.0028227703918673,0.0027596456584565,0.0028573436629976
Amador,36726.0,37031.0,37429.0,38529.0,39405.0,39752.0,0.0951525420180629,0.0951512338299624,0.09556230549213,0.0978924576311946,0.0998565997901554,0.1006068425965302
Butte,223516.0,224631.0,226231.0,228696.0,230339.0,219186.0,0.5791024228532746,0.5771898357175959,0.5776044226078728,0.5810587736620126,0.5837043354666822,0.5547296086074428
Calaveras,44671.0,44965.0,45322.0,45681.0,45698.0,45905.0,0.1157370583371151,0.1155376638266387,0.1157144142112885,0.1160638832321264,0.1158037532600056,0.1161792390167468
Colusa,21176.0,21231.0,21496.0,21579.0,21418.0,21547.0,0.0548644074980804,0.0545530999822832,0.0548827732201989,0.0548267887363686,0.0542755653928574,0.0545324923884945
Contra Costa,1108876.0,1124405.0,1137268.0,1145535.0,1150519.0,1153526.0,2.8729611224424545,2.889161056265801,2.903629593161018,2.9105151042734176,2.9155415641154634,2.919415594511096
Del Norte,27175.0,27190.0,27382.0,27351.0,27740.0,27812.0,0.0704070775292942,0.0698647632479997,0.0699106855375645,0.0694919828874563,0.0702962080492047,0.0703883453988402
El Dorado,183108.0,184569.0,185976.0,188679.0,190746.0,192843.0,0.4744102723913161,0.4742504408944488,0.4748268809266712,0.479385683858812,0.4833713230192358,0.4880591000916349
Fresno,960567.0,969488.0,976830.0,985238.0,991950.0,999101.0,2.4887107724409057,2.491101492893592,2.494005366797868,2.503240913899736,2.5137102946794743,2.528587166558561
Glenn,27831.0,27753.0,27840.0,27926.0,27967.0,28393.0,0.0721066927219057,0.0713113929540911,0.0710800337946752,0.0709529126582247,0.0708714509917847,0.0718587764601348
Humboldt,134494.0,135102.0,136290.0,136507.0,136244.0,135558.0,0.348457386760806,0.3471448784233637,0.3479704671650966,0.3468298090752805,0.3452572663826909,0.3430786468278436
Imperial,177974.0,178937.0,180179.0,181649.0,181523.0,181215.0,0.4611087108076768,0.4597790048292508,0.4600262000391808,0.4615242294440258,0.4599992276033088,0.4586302319664474
Inyo,18292.0,18108.0,17922.0,17868.0,17946.0,18039.0,0.0473923187549531,0.046528544792011,0.0457577717553222,0.0453980750332005,0.0454771358922504,0.0456542270476657
Kern,869176.0,876031.0,880856.0,887356.0,893758.0,900202.0,2.251927949166582,2.25096353118457,2.248968184204112,2.254547474208682,2.2648809774203715,2.2782874048873434
Kings,149495.0,150085.0,149382.0,149665.0,151382.0,152940.0,0.3873231299077037,0.385643729020818,0.3813964658159547,0.380260963725317,0.3836186217341278,0.3870700972709128
Lake,64044.0,64260.0,63903.0,64111.0,64317.0,64386.0,0.165930114932332,0.1651162076615102,0.1631547198125407,0.1628898583195389,0.1629863451009625,0.1629521072504576
