Year_of_Death,County_of_Residence,Age,Race_Ethnicity,Total_Deaths_ethnicity
2021,Alameda,Less than 1 year,Hispanic,6
2021,Alameda,Less than 1 year,White,6
2021,Alameda,Less than 1 year,Asian,6
2021,Alameda,Less than 1 year,Black/African-American,6
2021,Alameda,Less than 1 year,Multi-Race,0
2021,Alameda,Less than 1 year,Native American/Alaskan Native,0
2021,Alameda,Less than 1 year,Pacific Islander/Native Hawaiian,6
2021,Alameda,Less than 1 year,Other/Unknown,6
2021,Alameda,1 - 4 years,Hispanic,6
2021,Alameda,1 - 4 years,White,6
2021,Alameda,1 - 4 years,Asian,0
2021,Alameda,1 - 4 years,Black/African-American,0
2021,Alameda,1 - 4 years,Multi-Race,0
2021,Alameda,1 - 4 years,Native American/Alaskan Native,0
2021,Alameda,1 - 4 years,Pacific Islander/Native Hawaiian,0
2021,Alameda,1 - 4 years,Other/Unknown,0
2021,Alameda,5 - 9 years,Hispanic,0
2021,Alameda,5 - 9 years,White,6
2021,Alameda,5 - 9 years,Asian,0
2021,Alameda,5 - 9 years,Black/African-American,6
2021,Alameda,5 - 9 years,Multi-Race,0
2021,Alameda,5 - 9 years,Native American/Alaskan Native,0
2021,Alameda,5 - 9 years,Pacific Islander/Native Hawaiian,0
2021,Alameda,5 - 9 years,Other/Unknown,0
2021,Alameda,10 - 14 years,Hispanic,6
2021,Alameda,10 - 14 years,White,0
2021,Alameda,10 - 14 years,Asian,0
2021,Alameda,10 - 14 years,Black/African-American,0
2021,Alameda,10 - 14 years,Multi-Race,0
2021,Alameda,10 - 14 years,Native American/Alaskan Native,0
2021,Alameda,10 - 14 years,Pacific Islander/Native Hawaiian,0
2021,Alameda,10 - 14 years,Other/Unknown,0
2021,Alameda,15 - 19 years,Hispanic,6
2021,Alameda,15 - 19 years,White,6
2021,Alameda,15 - 19 years,Asian,6
2021,Alameda,15 - 19 years,Black/African-American,6
2021,Alameda,15 - 19 years,Multi-Race,0
2021,Alameda,15 - 19 years,Native American/Alaskan Native,0
2021,Alameda,15 - 19 years,Pacific Islander/Native Hawaiian,0
2021,Alameda,15 - 19 years,Other/Unknown,0
2021,Alameda,20 - 24 years,Hispanic,11
2021,Alameda,20 - 24 years,White,6
2021,Alameda,20 - 24 years,Asian,6
2021,Alameda,20 - 24 years,Black/African-American,6
2021,Alameda,20 - 24 years,Multi-Race,6
2021,Alameda,20 - 24 years,Native American/Alaskan Native,0
2021,Alameda,20 - 24 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,20 - 24 years,Other/Unknown,0
2021,Alameda,25 - 29 years,Hispanic,19
2021,Alameda,25 - 29 years,White,6
2021,Alameda,25 - 29 years,Asian,6
2021,Alameda,25 - 29 years,Black/African-American,12
2021,Alameda,25 - 29 years,Multi-Race,6
2021,Alameda,25 - 29 years,Native American/Alaskan Native,6
2021,Alameda,25 - 29 years,Pacific Islander/Native Hawaiian,0
2021,Alameda,25 - 29 years,Other/Unknown,6
2021,Alameda,30 - 34 years,Hispanic,14
2021,Alameda,30 - 34 years,White,6
2021,Alameda,30 - 34 years,Asian,12
2021,Alameda,30 - 34 years,Black/African-American,6
2021,Alameda,30 - 34 years,Multi-Race,6
2021,Alameda,30 - 34 years,Native American/Alaskan Native,0
2021,Alameda,30 - 34 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,30 - 34 years,Other/Unknown,0
2021,Alameda,35 - 39 years,Hispanic,13
2021,Alameda,35 - 39 years,White,18
2021,Alameda,35 - 39 years,Asian,6
