Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital
2021,Alameda,Less than 1 year,Married (including SRDP),0
2021,Alameda,Less than 1 year,Widowed,0
2021,Alameda,Less than 1 year,Divorced,0
2021,Alameda,Less than 1 year,Never Married,25
2021,Alameda,Less than 1 year,Unknown,0
2021,Alameda,1 - 4 years,Married (including SRDP),0
2021,Alameda,1 - 4 years,Widowed,0
2021,Alameda,1 - 4 years,Divorced,0
2021,Alameda,1 - 4 years,Never Married,6
2021,Alameda,1 - 4 years,Unknown,0
2021,Alameda,5 - 9 years,Married (including SRDP),0
2021,Alameda,5 - 9 years,Widowed,0
2021,Alameda,5 - 9 years,Divorced,0
2021,Alameda,5 - 9 years,Never Married,6
2021,Alameda,5 - 9 years,Unknown,0
2021,Alameda,10 - 14 years,Married (including SRDP),0
2021,Alameda,10 - 14 years,Widowed,0
2021,Alameda,10 - 14 years,Divorced,0
2021,Alameda,10 - 14 years,Never Married,6
2021,Alameda,10 - 14 years,Unknown,0
2021,Alameda,15 - 19 years,Married (including SRDP),0
2021,Alameda,15 - 19 years,Widowed,0
2021,Alameda,15 - 19 years,Divorced,0
2021,Alameda,15 - 19 years,Never Married,6
2021,Alameda,15 - 19 years,Unknown,0
2021,Alameda,20 - 24 years,Married (including SRDP),0
2021,Alameda,20 - 24 years,Widowed,0
2021,Alameda,20 - 24 years,Divorced,0
2021,Alameda,20 - 24 years,Never Married,28
2021,Alameda,20 - 24 years,Unknown,6
2021,Alameda,25 - 29 years,Married (including SRDP),6
2021,Alameda,25 - 29 years,Widowed,6
2021,Alameda,25 - 29 years,Divorced,0
2021,Alameda,25 - 29 years,Never Married,40
2021,Alameda,25 - 29 years,Unknown,0
2021,Alameda,30 - 34 years,Married (including SRDP),6
2021,Alameda,30 - 34 years,Widowed,0
2021,Alameda,30 - 34 years,Divorced,6
2021,Alameda,30 - 34 years,Never Married,34
2021,Alameda,30 - 34 years,Unknown,6
2021,Alameda,35 - 39 years,Married (including SRDP),19
2021,Alameda,35 - 39 years,Widowed,0
2021,Alameda,35 - 39 years,Divorced,6
2021,Alameda,35 - 39 years,Never Married,38
2021,Alameda,35 - 39 years,Unknown,0
2021,Alameda,40 - 44 years,Married (including SRDP),17
2021,Alameda,40 - 44 years,Widowed,6
2021,Alameda,40 - 44 years,Divorced,6
2021,Alameda,40 - 44 years,Never Married,39
2021,Alameda,40 - 44 years,Unknown,6
2021,Alameda,45 - 49 years,Married (including SRDP),34
2021,Alameda,45 - 49 years,Widowed,6
2021,Alameda,45 - 49 years,Divorced,6
2021,Alameda,45 - 49 years,Never Married,39
2021,Alameda,45 - 49 years,Unknown,6
2021,Alameda,50 - 54 years,Married (including SRDP),52
2021,Alameda,50 - 54 years,Widowed,6
2021,Alameda,50 - 54 years,Divorced,25
2021,Alameda,50 - 54 years,Never Married,49
2021,Alameda,50 - 54 years,Unknown,6
2021,Alameda,55 - 59 years,Married (including SRDP),84
2021,Alameda,55 - 59 years,Widowed,6
2021,Alameda,55 - 59 years,Divorced,36
2021,Alameda,55 - 59 years,Never Married,95
2021,Alameda,55 - 59 years,Unknown,6
2021,Alameda,60 - 64 years,Married (including SRDP),125
2021,Alameda,60 - 64 years,Widowed,16
2021,Alameda,60 - 64 years,Divorced,69
2021,Alameda,60 - 64 years,Never Married,78
2021,Alameda,60 - 64 years,Unknown,6
2021,Alameda,65 - 69 years,Married (including SRDP),140
2021,Alameda,65 - 69 years,Widowed,41
2021,Alameda,65 - 69 years,Divorced,62
2021,Alameda,65 - 69 years,Never Married,90
2021,Alameda,65 - 69 years,Unknown,6
2021,Alameda,70 - 74 years,Married (including SRDP),180
2021,Alameda,70 - 74 years,Widowed,66
2021,Alameda,70 - 74 years,Divorced,107
2021,Alameda,70 - 74 years,Never Married,75
2021,Alameda,70 - 74 years,Unknown,16
2021,Alameda,75 - 79 years,Married (including SRDP),195
2021,Alameda,75 - 79 years,Widowed,110
2021,Alameda,75 - 79 years,Divorced,114
2021,Alameda,75 - 79 years,Never Married,53
2021,Alameda,75 - 79 years,Unknown,6
2021,Alameda,80 - 84 years,Married (including SRDP),204
2021,Alameda,80 - 84 years,Widowed,187
2021,Alameda,80 - 84 years,Divorced,78
2021,Alameda,80 - 84 years,Never Married,34
2021,Alameda,80 - 84 years,Unknown,6
2021,Alameda,85 - 89 years,Married (including SRDP),172
2021,Alameda,85 - 89 years,Widowed,250
2021,Alameda,85 - 89 years,Divorced,66
2021,Alameda,85 - 89 years,Never Married,21
2021,Alameda,85 - 89 years,Unknown,6
2021,Alameda,90 - 94 years,Married (including SRDP),128
2021,Alameda,90 - 94 years,Widowed,314
2021,Alameda,90 - 94 years,Divorced,47
2021,Alameda,90 - 94 years,Never Married,29
2021,Alameda,90 - 94 years,Unknown,0
2021,Alameda,95 - 99 years,Married (including SRDP),28
2021,Alameda,95 - 99 years,Widowed,205
2021,Alameda,95 - 99 years,Divorced,21
2021,Alameda,95 - 99 years,Never Married,11
2021,Alameda,95 - 99 years,Unknown,6
2021,Alameda,100 years and over,Married (including SRDP),6
2021,Alameda,100 years and over,Widowed,57
2021,Alameda,100 years and over,Divorced,6
2021,Alameda,100 years and over,Never Married,0
2021,Alameda,100 years and over,Unknown,0
2021,Alpine,Less than 1 year,Married (including SRDP),0
2021,Alpine,Less than 1 year,Widowed,0
2021,Alpine,Less than 1 year,Divorced,0
2021,Alpine,Less than 1 year,Never Married,0
2021,Alpine,Less than 1 year,Unknown,0
2021,Alpine,1 - 4 years,Married (including SRDP),0
2021,Alpine,1 - 4 years,Widowed,0
2021,Alpine,1 - 4 years,Divorced,0
2021,Alpine,1 - 4 years,Never Married,0
2021,Alpine,1 - 4 years,Unknown,0
2021,Alpine,5 - 9 years,Married (including SRDP),0
2021,Alpine,5 - 9 years,Widowed,0
2021,Alpine,5 - 9 years,Divorced,0
2021,Alpine,5 - 9 years,Never Married,0
2021,Alpine,5 - 9 years,Unknown,0
2021,Alpine,10 - 14 years,Married (including SRDP),0
2021,Alpine,10 - 14 years,Widowed,0
2021,Alpine,10 - 14 years,Divorced,0
2021,Alpine,10 - 14 years,Never Married,0
2021,Alpine,10 - 14 years,Unknown,0
2021,Alpine,15 - 19 years,Married (including SRDP),0
2021,Alpine,15 - 19 years,Widowed,0
2021,Alpine,15 - 19 years,Divorced,0
2021,Alpine,15 - 19 years,Never Married,0
2021,Alpine,15 - 19 years,Unknown,0
2021,Alpine,20 - 24 years,Married (including SRDP),0
2021,Alpine,20 - 24 years,Widowed,0
2021,Alpine,20 - 24 years,Divorced,0
2021,Alpine,20 - 24 years,Never Married,0
2021,Alpine,20 - 24 years,Unknown,0
2021,Alpine,25 - 29 years,Married (including SRDP),0
2021,Alpine,25 - 29 years,Widowed,0
2021,Alpine,25 - 29 years,Divorced,0
2021,Alpine,25 - 29 years,Never Married,0
2021,Alpine,25 - 29 years,Unknown,0
2021,Alpine,30 - 34 years,Married (including SRDP),0
2021,Alpine,30 - 34 years,Widowed,0
2021,Alpine,30 - 34 years,Divorced,0
2021,Alpine,30 - 34 years,Never Married,6
2021,Alpine,30 - 34 years,Unknown,0
2021,Alpine,35 - 39 years,Married (including SRDP),6
2021,Alpine,35 - 39 years,Widowed,0
2021,Alpine,35 - 39 years,Divorced,0
2021,Alpine,35 - 39 years,Never Married,0
