Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex
2021,Alameda,Less than 1 year,Female,6
2021,Alameda,Less than 1 year,Male,16
2021,Alameda,1 - 4 years,Female,6
2021,Alameda,1 - 4 years,Male,6
2021,Alameda,5 - 9 years,Female,6
2021,Alameda,5 - 9 years,Male,6
2021,Alameda,10 - 14 years,Female,6
2021,Alameda,10 - 14 years,Male,0
2021,Alameda,15 - 19 years,Female,6
2021,Alameda,15 - 19 years,Male,6
2021,Alameda,20 - 24 years,Female,6
2021,Alameda,20 - 24 years,Male,19
2021,Alameda,25 - 29 years,Female,12
2021,Alameda,25 - 29 years,Male,33
2021,Alameda,30 - 34 years,Female,12
2021,Alameda,30 - 34 years,Male,34
2021,Alameda,35 - 39 years,Female,18
2021,Alameda,35 - 39 years,Male,42
2021,Alameda,40 - 44 years,Female,21
2021,Alameda,40 - 44 years,Male,42
2021,Alameda,45 - 49 years,Female,27
2021,Alameda,45 - 49 years,Male,60
2021,Alameda,50 - 54 years,Female,43
2021,Alameda,50 - 54 years,Male,90
2021,Alameda,55 - 59 years,Female,89
2021,Alameda,55 - 59 years,Male,138
2021,Alameda,60 - 64 years,Female,103
2021,Alameda,60 - 64 years,Male,194
2021,Alameda,65 - 69 years,Female,130
2021,Alameda,65 - 69 years,Male,212
2021,Alameda,70 - 74 years,Female,185
2021,Alameda,70 - 74 years,Male,259
2021,Alameda,75 - 79 years,Female,226
2021,Alameda,75 - 79 years,Male,250
2021,Alameda,80 - 84 years,Female,257
2021,Alameda,80 - 84 years,Male,251
2021,Alameda,85 - 89 years,Female,268
2021,Alameda,85 - 89 years,Male,243
2021,Alameda,90 - 94 years,Female,315
2021,Alameda,90 - 94 years,Male,203
2021,Alameda,95 - 99 years,Female,194
2021,Alameda,95 - 99 years,Male,72
2021,Alameda,100 years and over,Female,46
2021,Alameda,100 years and over,Male,19
2021,Alpine,Less than 1 year,Female,0
2021,Alpine,Less than 1 year,Male,0
2021,Alpine,1 - 4 years,Female,0
2021,Alpine,1 - 4 years,Male,0
2021,Alpine,5 - 9 years,Female,0
2021,Alpine,5 - 9 years,Male,0
2021,Alpine,10 - 14 years,Female,0
2021,Alpine,10 - 14 years,Male,0
