Year_of_Death,County_of_Residence,Age,Total_Deaths
2021,Alameda,Less than 1 year,25
2021,Alameda,1 - 4 years,6
2021,Alameda,5 - 9 years,6
2021,Alameda,10 - 14 years,6
2021,Alameda,15 - 19 years,6
2021,Alameda,20 - 24 years,29
2021,Alameda,25 - 29 years,45
2021,Alameda,30 - 34 years,46
2021,Alameda,35 - 39 years,60
2021,Alameda,40 - 44 years,63
2021,Alameda,45 - 49 years,87
2021,Alameda,50 - 54 years,133
2021,Alameda,55 - 59 years,227
2021,Alameda,60 - 64 years,297
2021,Alameda,65 - 69 years,342
2021,Alameda,70 - 74 years,444
2021,Alameda,75 - 79 years,476
2021,Alameda,80 - 84 years,508
2021,Alameda,85 - 89 years,511
2021,Alameda,90 - 94 years,518
2021,Alameda,95 - 99 years,266
2021,Alameda,100 years and over,65
2021,Alpine,Less than 1 year,0
2021,Alpine,1 - 4 years,0
2021,Alpine,5 - 9 years,0
2021,Alpine,10 - 14 years,0
2021,Alpine,15 - 19 years,0
2021,Alpine,20 - 24 years,0
2021,Alpine,25 - 29 years,0
2021,Alpine,30 - 34 years,6
2021,Alpine,35 - 39 years,6
2021,Alpine,40 - 44 years,0
2021,Alpine,45 - 49 years,0
2021,Alpine,50 - 54 years,6
2021,Alpine,55 - 59 years,0
2021,Alpine,60 - 64 years,6
2021,Alpine,65 - 69 years,0
2021,Alpine,70 - 74 years,6
2021,Alpine,75 - 79 years,6
2021,Alpine,80 - 84 years,0
2021,Alpine,85 - 89 years,6
2021,Alpine,90 - 94 years,0
2021,Alpine,95 - 99 years,0
2021,Alpine,100 years and over,0
2021,Amador,Less than 1 year,0
2021,Amador,1 - 4 years,0
2021,Amador,5 - 9 years,0
2021,Amador,10 - 14 years,0
2021,Amador,15 - 19 years,0
2021,Amador,20 - 24 years,0
2021,Amador,25 - 29 years,6
2021,Amador,30 - 34 years,6
2021,Amador,35 - 39 years,6
2021,Amador,40 - 44 years,6
2021,Amador,45 - 49 years,6
2021,Amador,50 - 54 years,6
2021,Amador,55 - 59 years,6
2021,Amador,60 - 64 years,11
2021,Amador,65 - 69 years,18
2021,Amador,70 - 74 years,22
2021,Amador,75 - 79 years,24
2021,Amador,80 - 84 years,25
2021,Amador,85 - 89 years,18
2021,Amador,90 - 94 years,19
2021,Amador,95 - 99 years,6
2021,Amador,100 years and over,6
2021,Butte,Less than 1 year,6
2021,Butte,1 - 4 years,6
2021,Butte,5 - 9 years,6
2021,Butte,10 - 14 years,0
2021,Butte,15 - 19 years,6
2021,Butte,20 - 24 years,6
2021,Butte,25 - 29 years,6
2021,Butte,30 - 34 years,6
2021,Butte,35 - 39 years,16
2021,Butte,40 - 44 years,15
2021,Butte,45 - 49 years,18
2021,Butte,50 - 54 years,19
2021,Butte,55 - 59 years,40
2021,Butte,60 - 64 years,63
2021,Butte,65 - 69 years,79
2021,Butte,70 - 74 years,104
2021,Butte,75 - 79 years,84
2021,Butte,80 - 84 years,97
2021,Butte,85 - 89 years,102
2021,Butte,90 - 94 years,95
2021,Butte,95 - 99 years,46
2021,Butte,100 years and over,6
2021,Calaveras,Less than 1 year,0
2021,Calaveras,1 - 4 years,0
2021,Calaveras,5 - 9 years,0
2021,Calaveras,10 - 14 years,0
2021,Calaveras,15 - 19 years,0
2021,Calaveras,20 - 24 years,6
2021,Calaveras,25 - 29 years,6
2021,Calaveras,30 - 34 years,6
2021,Calaveras,35 - 39 years,6
2021,Calaveras,40 - 44 years,0
2021,Calaveras,45 - 49 years,6
2021,Calaveras,50 - 54 years,6
2021,Calaveras,55 - 59 years,6
2021,Calaveras,60 - 64 years,20
2021,Calaveras,65 - 69 years,19
2021,Calaveras,70 - 74 years,24
2021,Calaveras,75 - 79 years,32
2021,Calaveras,80 - 84 years,26
2021,Calaveras,85 - 89 years,20
2021,Calaveras,90 - 94 years,19
2021,Calaveras,95 - 99 years,6
2021,Calaveras,100 years and over,6
2021,Colusa,Less than 1 year,6
2021,Colusa,1 - 4 years,0
2021,Colusa,5 - 9 years,0
2021,Colusa,10 - 14 years,0
2021,Colusa,15 - 19 years,0
2021,Colusa,20 - 24 years,0
2021,Colusa,25 - 29 years,0
2021,Colusa,30 - 34 years,0
2021,Colusa,35 - 39 years,6
2021,Colusa,40 - 44 years,6
2021,Colusa,45 - 49 years,0
2021,Colusa,50 - 54 years,6
2021,Colusa,55 - 59 years,6
2021,Colusa,60 - 64 years,6
