Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran
2021,Alameda,Less than 1 year,No,23
2021,Alameda,Less than 1 year,Unknown,6
2021,Alameda,Less than 1 year,Yes,0
2021,Alameda,1 - 4 years,No,6
2021,Alameda,1 - 4 years,Unknown,0
2021,Alameda,1 - 4 years,Yes,0
2021,Alameda,5 - 9 years,No,6
2021,Alameda,5 - 9 years,Unknown,0
2021,Alameda,5 - 9 years,Yes,0
2021,Alameda,10 - 14 years,No,6
2021,Alameda,10 - 14 years,Unknown,0
2021,Alameda,10 - 14 years,Yes,0
2021,Alameda,15 - 19 years,No,6
2021,Alameda,15 - 19 years,Unknown,0
2021,Alameda,15 - 19 years,Yes,0
2021,Alameda,20 - 24 years,No,27
2021,Alameda,20 - 24 years,Unknown,6
2021,Alameda,20 - 24 years,Yes,6
2021,Alameda,25 - 29 years,No,44
2021,Alameda,25 - 29 years,Unknown,0
2021,Alameda,25 - 29 years,Yes,6
2021,Alameda,30 - 34 years,No,45
2021,Alameda,30 - 34 years,Unknown,0
2021,Alameda,30 - 34 years,Yes,6
2021,Alameda,35 - 39 years,No,57
2021,Alameda,35 - 39 years,Unknown,6
2021,Alameda,35 - 39 years,Yes,6
2021,Alameda,40 - 44 years,No,59
2021,Alameda,40 - 44 years,Unknown,6
2021,Alameda,40 - 44 years,Yes,6
2021,Alameda,45 - 49 years,No,83
2021,Alameda,45 - 49 years,Unknown,6
2021,Alameda,45 - 49 years,Yes,6
2021,Alameda,50 - 54 years,No,125
2021,Alameda,50 - 54 years,Unknown,6
2021,Alameda,50 - 54 years,Yes,6
2021,Alameda,55 - 59 years,No,211
2021,Alameda,55 - 59 years,Unknown,6
2021,Alameda,55 - 59 years,Yes,6
2021,Alameda,60 - 64 years,No,269
2021,Alameda,60 - 64 years,Unknown,6
2021,Alameda,60 - 64 years,Yes,24
2021,Alameda,65 - 69 years,No,303
2021,Alameda,65 - 69 years,Unknown,6
2021,Alameda,65 - 69 years,Yes,32
2021,Alameda,70 - 74 years,No,364
2021,Alameda,70 - 74 years,Unknown,14
2021,Alameda,70 - 74 years,Yes,66
2021,Alameda,75 - 79 years,No,396
2021,Alameda,75 - 79 years,Unknown,6
2021,Alameda,75 - 79 years,Yes,74
2021,Alameda,80 - 84 years,No,412
2021,Alameda,80 - 84 years,Unknown,6
2021,Alameda,80 - 84 years,Yes,90
2021,Alameda,85 - 89 years,No,391
2021,Alameda,85 - 89 years,Unknown,6
2021,Alameda,85 - 89 years,Yes,119
2021,Alameda,90 - 94 years,No,427
2021,Alameda,90 - 94 years,Unknown,6
2021,Alameda,90 - 94 years,Yes,89
2021,Alameda,95 - 99 years,No,214
2021,Alameda,95 - 99 years,Unknown,6
2021,Alameda,95 - 99 years,Yes,49
2021,Alameda,100 years and over,No,52
2021,Alameda,100 years and over,Unknown,0
2021,Alameda,100 years and over,Yes,13
2021,Alpine,Less than 1 year,No,0
2021,Alpine,Less than 1 year,Unknown,0
2021,Alpine,Less than 1 year,Yes,0
2021,Alpine,1 - 4 years,No,0
2021,Alpine,1 - 4 years,Unknown,0
2021,Alpine,1 - 4 years,Yes,0
2021,Alpine,5 - 9 years,No,0
2021,Alpine,5 - 9 years,Unknown,0
2021,Alpine,5 - 9 years,Yes,0
2021,Alpine,10 - 14 years,No,0
2021,Alpine,10 - 14 years,Unknown,0
2021,Alpine,10 - 14 years,Yes,0
2021,Alpine,15 - 19 years,No,0
2021,Alpine,15 - 19 years,Unknown,0
2021,Alpine,15 - 19 years,Yes,0
2021,Alpine,20 - 24 years,No,0
2021,Alpine,20 - 24 years,Unknown,0
2021,Alpine,20 - 24 years,Yes,0
2021,Alpine,25 - 29 years,No,0
2021,Alpine,25 - 29 years,Unknown,0
2021,Alpine,25 - 29 years,Yes,0
2021,Alpine,30 - 34 years,No,6
2021,Alpine,30 - 34 years,Unknown,0
2021,Alpine,30 - 34 years,Yes,0
2021,Alpine,35 - 39 years,No,6
2021,Alpine,35 - 39 years,Unknown,0
2021,Alpine,35 - 39 years,Yes,0
2021,Alpine,40 - 44 years,No,0
2021,Alpine,40 - 44 years,Unknown,0
2021,Alpine,40 - 44 years,Yes,0
2021,Alpine,45 - 49 years,No,0
2021,Alpine,45 - 49 years,Unknown,0
2021,Alpine,45 - 49 years,Yes,0
2021,Alpine,50 - 54 years,No,6
2021,Alpine,50 - 54 years,Unknown,0
2021,Alpine,50 - 54 years,Yes,0
2021,Alpine,55 - 59 years,No,0
2021,Alpine,55 - 59 years,Unknown,0
2021,Alpine,55 - 59 years,Yes,0
2021,Alpine,60 - 64 years,No,6
2021,Alpine,60 - 64 years,Unknown,0
2021,Alpine,60 - 64 years,Yes,0
2021,Alpine,65 - 69 years,No,0
2021,Alpine,65 - 69 years,Unknown,0
2021,Alpine,65 - 69 years,Yes,0
2021,Alpine,70 - 74 years,No,6
2021,Alpine,70 - 74 years,Unknown,0
2021,Alpine,70 - 74 years,Yes,0
2021,Alpine,75 - 79 years,No,0
2021,Alpine,75 - 79 years,Unknown,0
2021,Alpine,75 - 79 years,Yes,6
2021,Alpine,80 - 84 years,No,0
2021,Alpine,80 - 84 years,Unknown,0
2021,Alpine,80 - 84 years,Yes,0
2021,Alpine,85 - 89 years,No,6
2021,Alpine,85 - 89 years,Unknown,0
2021,Alpine,85 - 89 years,Yes,0
2021,Alpine,90 - 94 years,No,0
2021,Alpine,90 - 94 years,Unknown,0
2021,Alpine,90 - 94 years,Yes,0
2021,Alpine,95 - 99 years,No,0
2021,Alpine,95 - 99 years,Unknown,0
2021,Alpine,95 - 99 years,Yes,0
2021,Alpine,100 years and over,No,0
2021,Alpine,100 years and over,Unknown,0
2021,Alpine,100 years and over,Yes,0
2021,Amador,Less than 1 year,No,0
2021,Amador,Less than 1 year,Unknown,0
2021,Amador,Less than 1 year,Yes,0
2021,Amador,1 - 4 years,No,0
2021,Amador,1 - 4 years,Unknown,0
2021,Amador,1 - 4 years,Yes,0
2021,Amador,5 - 9 years,No,0
2021,Amador,5 - 9 years,Unknown,0
2021,Amador,5 - 9 years,Yes,0
2021,Amador,10 - 14 years,No,0
2021,Amador,10 - 14 years,Unknown,0
2021,Amador,10 - 14 years,Yes,0
2021,Amador,15 - 19 years,No,0
2021,Amador,15 - 19 years,Unknown,0
2021,Amador,15 - 19 years,Yes,0
2021,Amador,20 - 24 years,No,0
2021,Amador,20 - 24 years,Unknown,0
2021,Amador,20 - 24 years,Yes,0
2021,Amador,25 - 29 years,No,6
2021,Amador,25 - 29 years,Unknown,0
2021,Amador,25 - 29 years,Yes,0
2021,Amador,30 - 34 years,No,6
2021,Amador,30 - 34 years,Unknown,0
2021,Amador,30 - 34 years,Yes,6
2021,Amador,35 - 39 years,No,6
2021,Amador,35 - 39 years,Unknown,0
2021,Amador,35 - 39 years,Yes,0
2021,Amador,40 - 44 years,No,6
2021,Amador,40 - 44 years,Unknown,0
2021,Amador,40 - 44 years,Yes,0
2021,Amador,45 - 49 years,No,6
2021,Amador,45 - 49 years,Unknown,0
2021,Amador,45 - 49 years,Yes,0
2021,Amador,50 - 54 years,No,6
2021,Amador,50 - 54 years,Unknown,0
2021,Amador,50 - 54 years,Yes,0
2021,Amador,55 - 59 years,No,6
2021,Amador,55 - 59 years,Unknown,0
2021,Amador,55 - 59 years,Yes,0
