Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,Less than 1 year,25,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,<11,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,29,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,45,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,46,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,60,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,63,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,87,06/10/2021
Death,2021,Place of Residence,Alameda,50 - 54 years,133,06/10/2021
Death,2021,Place of Residence,Alameda,55 - 59 years,227,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,297,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,342,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,444,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,476,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,508,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,511,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,518,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,266,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,65,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,<11,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,18,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,22,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,24,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,25,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,18,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,19,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Butte,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Butte,5 - 9 years,<11,06/10/2021
Death,2021,Place of Residence,Butte,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Butte,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Butte,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Butte,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Butte,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Butte,35 - 39 years,16,06/10/2021
Death,2021,Place of Residence,Butte,40 - 44 years,15,06/10/2021
Death,2021,Place of Residence,Butte,45 - 49 years,18,06/10/2021
Death,2021,Place of Residence,Butte,50 - 54 years,19,06/10/2021
Death,2021,Place of Residence,Butte,55 - 59 years,40,06/10/2021
Death,2021,Place of Residence,Butte,60 - 64 years,63,06/10/2021
Death,2021,Place of Residence,Butte,65 - 69 years,79,06/10/2021
Death,2021,Place of Residence,Butte,70 - 74 years,104,06/10/2021
Death,2021,Place of Residence,Butte,75 - 79 years,84,06/10/2021
Death,2021,Place of Residence,Butte,80 - 84 years,97,06/10/2021
Death,2021,Place of Residence,Butte,85 - 89 years,102,06/10/2021
Death,2021,Place of Residence,Butte,90 - 94 years,95,06/10/2021
Death,2021,Place of Residence,Butte,95 - 99 years,46,06/10/2021
Death,2021,Place of Residence,Butte,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Calaveras,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Calaveras,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Calaveras,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Calaveras,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Calaveras,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,40 - 44 years,0,06/10/2021
Death,2021,Place of Residence,Calaveras,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,55 - 59 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,60 - 64 years,20,06/10/2021
Death,2021,Place of Residence,Calaveras,65 - 69 years,19,06/10/2021
Death,2021,Place of Residence,Calaveras,70 - 74 years,24,06/10/2021
Death,2021,Place of Residence,Calaveras,75 - 79 years,32,06/10/2021
Death,2021,Place of Residence,Calaveras,80 - 84 years,26,06/10/2021
Death,2021,Place of Residence,Calaveras,85 - 89 years,20,06/10/2021
Death,2021,Place of Residence,Calaveras,90 - 94 years,19,06/10/2021
Death,2021,Place of Residence,Calaveras,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Colusa,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Colusa,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,25 - 29 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,30 - 34 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,45 - 49 years,0,06/10/2021
Death,2021,Place of Residence,Colusa,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,55 - 59 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,60 - 64 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,65 - 69 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,70 - 74 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,75 - 79 years,14,06/10/2021
Death,2021,Place of Residence,Colusa,80 - 84 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,85 - 89 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,90 - 94 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Colusa,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,Less than 1 year,13,06/10/2021
Death,2021,Place of Residence,Contra Costa,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,5 - 9 years,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,20 - 24 years,26,06/10/2021
Death,2021,Place of Residence,Contra Costa,25 - 29 years,35,06/10/2021
Death,2021,Place of Residence,Contra Costa,30 - 34 years,42,06/10/2021
Death,2021,Place of Residence,Contra Costa,35 - 39 years,47,06/10/2021
Death,2021,Place of Residence,Contra Costa,40 - 44 years,52,06/10/2021
Death,2021,Place of Residence,Contra Costa,45 - 49 years,67,06/10/2021
Death,2021,Place of Residence,Contra Costa,50 - 54 years,117,06/10/2021
Death,2021,Place of Residence,Contra Costa,55 - 59 years,150,06/10/2021
Death,2021,Place of Residence,Contra Costa,60 - 64 years,234,06/10/2021
Death,2021,Place of Residence,Contra Costa,65 - 69 years,243,06/10/2021
Death,2021,Place of Residence,Contra Costa,70 - 74 years,320,06/10/2021
Death,2021,Place of Residence,Contra Costa,75 - 79 years,368,06/10/2021
Death,2021,Place of Residence,Contra Costa,80 - 84 years,395,06/10/2021
Death,2021,Place of Residence,Contra Costa,85 - 89 years,450,06/10/2021
Death,2021,Place of Residence,Contra Costa,90 - 94 years,376,06/10/2021
Death,2021,Place of Residence,Contra Costa,95 - 99 years,229,06/10/2021
Death,2021,Place of Residence,Contra Costa,100 years and over,49,06/10/2021
Death,2021,Place of Residence,Del Norte,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Del Norte,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Del Norte,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Del Norte,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Del Norte,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Del Norte,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,55 - 59 years,11,06/10/2021
Death,2021,Place of Residence,Del Norte,60 - 64 years,15,06/10/2021
Death,2021,Place of Residence,Del Norte,65 - 69 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,70 - 74 years,16,06/10/2021
Death,2021,Place of Residence,Del Norte,75 - 79 years,12,06/10/2021
Death,2021,Place of Residence,Del Norte,80 - 84 years,12,06/10/2021
Death,2021,Place of Residence,Del Norte,85 - 89 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,90 - 94 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,100 years and over,0,06/10/2021
Death,2021,Place of Residence,El Dorado,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,El Dorado,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,El Dorado,55 - 59 years,24,06/10/2021
Death,2021,Place of Residence,El Dorado,60 - 64 years,42,06/10/2021
Death,2021,Place of Residence,El Dorado,65 - 69 years,61,06/10/2021
Death,2021,Place of Residence,El Dorado,70 - 74 years,59,06/10/2021
Death,2021,Place of Residence,El Dorado,75 - 79 years,84,06/10/2021
Death,2021,Place of Residence,El Dorado,80 - 84 years,77,06/10/2021
Death,2021,Place of Residence,El Dorado,85 - 89 years,82,06/10/2021
