Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Never Married,25,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Never Married,28,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Never Married,40,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Never Married,34,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Married (including SRDP),19,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Never Married,38,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Married (including SRDP),17,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Never Married,39,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Married (including SRDP),34,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Divorced,<11,06/10/2021
