Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Sex,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,Less than 1 year,Female,<11,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Male,16,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Male,19,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Female,12,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Male,33,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Female,12,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Male,34,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Female,18,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Male,42,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Female,21,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Male,42,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Female,27,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Male,60,06/10/2021
Death,2021,Place of Residence,Alameda,50 - 54 years,Female,43,06/10/2021
Death,2021,Place of Residence,Alameda,50 - 54 years,Male,90,06/10/2021
Death,2021,Place of Residence,Alameda,55 - 59 years,Female,89,06/10/2021
Death,2021,Place of Residence,Alameda,55 - 59 years,Male,138,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Female,103,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Male,194,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Female,130,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Male,212,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Female,185,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Male,259,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Female,226,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Male,250,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Female,257,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Male,251,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Female,268,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Male,243,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Female,315,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Male,203,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Female,194,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Male,72,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Female,46,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Male,19,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Male,0,06/10/2021
