Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,Less than 1 year,No,23,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,Less than 1 year,Yes,0,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,1 - 4 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,5 - 9 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,10 - 14 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,15 - 19 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,No,27,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,20 - 24 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,No,44,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,25 - 29 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,No,45,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,30 - 34 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,No,57,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,35 - 39 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,No,59,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,40 - 44 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,No,83,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,45 - 49 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,50 - 54 years,No,125,06/10/2021
Death,2021,Place of Residence,Alameda,50 - 54 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,50 - 54 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,55 - 59 years,No,211,06/10/2021
Death,2021,Place of Residence,Alameda,55 - 59 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,55 - 59 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,No,269,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Yes,24,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,No,303,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Yes,32,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,No,364,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Unknown,14,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Yes,66,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,No,396,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Yes,74,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,No,412,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Yes,90,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,No,391,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Yes,119,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,No,427,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Unknown,<11,06/10/2021
