,County,County_Size(SqMile)
0,Alameda,739
1,Alpine,738
2,Amador,595
3,Butte,1636
4,Calaveras,1020
5,Colusa,1151
6,Contra Costa,716
7,Del Norte,1006
8,El Dorado,1708
9,Fresno,5958
10,Glenn,1314
11,Humboldt,3568
12,Imperial,4177
13,Inyo,10181
14,Kern,8132
15,Kings,1389
16,Lake,1256
17,Lassen,4541
18,Los Angeles,4058
19,Madera,2137
20,Marin,520
21,Mariposa,1449
22,Mendocino,3506
23,Merced,1935
24,Modoc,3918
25,Mono,3049
26,Monterey,3381
27,Napa,748
28,Nevada,958
29,Orange,791
30,Placer,1407
31,Plumas,2553
32,Riverside,7206
33,Sacramento,965
34,San Benito,1389
35,San Bernardino,20057
36,San Diego,4207
37,San Francisco,47
38,San Joaquin,1391
39,San Luis Obispo,3299
40,San Mateo,448
41,Santa Barbara,2735
42,Santa Clara,1290
43,Santa Cruz,445
44,Shasta,3775
45,Sierra,953
46,Siskiyou,6278
47,Solano,822
48,Sonoma,1576
49,Stanislaus,1495
50,Sutter,602
51,Tehama,2950
52,Trinity,3179
53,Tulare,4824
54,Tuolumne,2221
55,Ventura,1843
56,Yolo,1015
57,Yuba,632
